" Sags deinen Freunden: Dieser Artikel wird regelmäßig aktualisiert und an die laufenden Entwicklungen angepasst. UPDATE, 27. November 2020: Der am 02. November eingeführte ""Lockdown-Light"" hat nicht die gewünschten Ergebnisse gebracht. Besonders in stark bevölkerten Bezirken wie Friedrichshain, Neukölln, aber auch Spandau steigen die Infektionszahlen, pro Tag sind es somit mehr als 1000 Neuinfizierte in ganz Berlin. Deswegen greifen zum 01. Dezember neue, von Bund und Ländern festgelegte, Maßnahmen. Der Teil-Lockdown besteht bis zum 22. Dezember 2020, über eine Verlängerung wird in den kommenden Tagen und Wochen diskutiert. Über die nächsten Schritte und eine mögliche Verlängerung des Lockdowns wird frühestens am 15. Dezember 2020 diskutiert und entschieden. Damit ihr den Überblick nicht verliert, haben wir euch alle Maßnahmen und Beschlüsse, die aktuell und in den nächsten Wochen gelten, hier noch einmal zusammengefasst: Teil-Lockdown: Das sind die neuesten Beschlüsse für den Dezember 2020 Kontaktbeschränkungen: Berlin schließt sich nicht den anderen Ländern an Berlin wird die Sonderregelung zwischen Bund und Ländern, die über die Feiertage Treffen mit bis zu 10 Personen aus 2 Haushalten gestattet, nicht anwenden. Bedeutet: Stand jetzt dürfen sich in Berlin auch über Weihnachten und Silvester, also vom 23. Dezember 2020 bis zum 01. Januar 2021, wie bisher maximal 5 Personen aus 2 Haushalten treffen. Von der Zahl der Einzelpersonen sind dabei Kinder bis 12 Jahre explizit ausgenommen. Diese Regelung stellt allerdings jetzt schon viele Familien vor Probleme: Angehörige über 12 Jahre werden mitgezählt, womit Familien mit drei Kindern, die das Alter erreicht haben, sich theoretisch nicht gemeinsam mit anderen Menschen treffen dürfen – die Höchstzahl an Personen ist in einem Haushalt bereits erreicht. Wer gegen die Regel verstößt, muss mit Strafen rechnen. Damit die Kurve der Neuinfektionen bis Ende des Jahres weiter abflacht, müssen die Kontakte weiterhin erheblich (um 50 bis 75 Prozent) reduziert werden. Feuerwerk an Silvester nur eingeschränkt möglich Auch in Sachen Silvester ist man sich noch nicht komplett einig geworden. Sicher ist, dass öffentliche Feuerwerke nicht stattfinden und private Feuerwerke auf Plätzen oder Straßen von den lokalen Behörden untersagt werden, damit sich keine Menschentrauben versammeln und somit Superspreader-Events ausbleiben.";[(1583, 1758), (1245, 1508), (1828, 1883)]
 Grundsätzlich wird darüber hinaus empfohlen, zum Jahreswechsel komplett auf Feuerwerk und Silvesterböller zu verzichten. Ein Verbot für private Feuerwerke wurde allerdings (noch) nicht ausgesprochen. Strengere Maskenpflicht Die Maskenpflicht wird ausgeweitet: Auf jeder Straße, in der Einzelhandel und Handwerksbetriebe ansässig sind, gilt ab 01. Dezember Maskenpflicht. Bislang galt eine solche Pflicht in öffentlichen Verkehrsmitteln und Bahnhöfen, in Büros, im Einzelhandel und Supermärkten, aber auch vor Einkaufsmärkten sowie an belebteren Orten wie beispielsweise Parkplätzen. Auch Wochen-, Floh- und Weihnachtsmärkte gehören dazu, unerheblich, in welcher Form diese stattfinden. Schon länger gilt die Maskenpflicht auf großen Einkaufsstraßen und belebten Plätzen. Dazu zählen die Bergmannstraße, die Friedrichstraße, der Ku'damm, die Karl-Marx-Straße, die Wilmersdorfer Straße, die Tauentzienstraße, die Wilmersdorfer Straße, der Kurfürstendamm, die Altstadt Spandau, die Schloßstraße, die Bölschestraße sowie die Alte Schönhauser Straße. Ebenso: der Rosa-Luxemburg-Platz, der Rosenthaler Platz, der Alexanderplatz, die Rathausstraße, der Bebelplatz, der Hackescher Markt, der Lustgarten, der Leipziger Platz, der Pariser Platz, Unter den Linden und Karl-Liebknecht Straße, der Potsdamer Platz, der Washingtonplatz/Europaplatz, die Turmstraße, das Kottbusser Tor, der Lausitzer Platz, der Boxhagener Platz, der Hermannplatz und die Hermannstraße, die Sonnenallee, der Breitscheidplatz, der Hardenbergplatz, der Olympischer Platz und der Wittenbergplatz. Gastronomie bleibt geschlossen Restaurants, Cafés, Gaststätten, Bars und Kneipen müssen weiterhin geschlossen bleiben, es dürfen keine Gäste empfangen werden. Außer-Haus-Lieferungen und Abholungen von Speisen für den Verzehr zu Hause sind aber gestattet. Schulen und Kitas sollen offen bleiben Oberstes erklärtes Ziel der Ministerpräsident*innen ist es, die Schulen und Kindergärten nicht schließen zu müssen, sie bleiben unter strengen Hygienemaßnahmen deshalb weiterhin geöffnet. Sollte die Inzidenz von 50 Neuinfektionen pro 100.000 Einwohner in sieben Tagen regional überschritten werden, sollen die AHA-Regeln ab Klasse 7 und 8 verbindlich gelten.;[(261, 686), (122, 200), (1856, 2043), (1593, 1816), (687, 1561)]
 Aber auch für jüngere Schüler*innen soll künftig eine Pflicht eingeführt werden können, wenn das Infektionsgeschehen es erfordert. Weitere Maßnahmen wie Hybrid- oder Wechselunterricht sollen ab einem Inzidenzwert von 200 Neuinfektionen pro 100.000 Einwohner in sieben Tagen ab Klasse 8 kommen können – aber nicht bundesweit. Weihnachtsferien werden vorgezogen Einig sind sich die meisten Bundesländer (mit Ausnahme von Bremen und Thüringen) in dem Vorhaben, die Weihnachtsferien vorzuziehen. Ferienstart soll in fast allen Ländern schon am 19. Dezember 2020 sein, also am Wochenende vor Weihnachten, um so Kontakte schon vor den Feiertagen merklich zu reduzieren. Absage für Veranstaltungen und Kultur Kultur- und Veranstaltungsbranche trifft es hart: Den kompletten November und mindestens bis zum 20. Dezember 2020 bleiben Events, Vorstellungen und größere Zusammenkünfte untersagt. Theater, Kinos, Opern und Konzerthäuser sowie Museen und Galerien müssen ebenso weiterhin geschlossen bleiben. Auch Messen, Freizeitparks und Spielhallen sind betroffen. Mehr Schutz für Pflegebedürftige Pflegebedürftige, Senior*innen und Menschen mit Beeinträchtigungen sollen besonders geschützt werden. Anders als im März, sollen Besuche in Krankenhäusern und Pflegeheimen aber nicht generell untersagt werden, damit keine soziale Isolation herrsche. Stattdessen sollen jetzt bereitstehende Corona-Schnelltests zur Verfügung gestellt werden, damit ein sicherer Kontakt erfolgen kann. Einrichtungen der Sozial- und Jugendhilfe sowie andere Beratungseinrichtungen sollen auch geöffnet bleiben. Neu beschlossen wurde heute: Für Pflegebedürftige und Risikopatient*innen sollen ab dem 01. Dezember rund 30 Schnelltests pro Monat zur Verfügung gestellt werden, je nach Verfügbarkeit auch mehr. Dienstleistungen nur eingeschränkt möglich Dienstleistungen in allen Bereichen, wo eine große körperliche Nähe erforderlich ist, sollen ebenfalls untersagt bleiben. So müssen Kosmetikstudios, Massagepraxen oder Tattoo-Studios schließen. Friseursalons dürfen offen bleiben und auch medizinisch notwendige Behandlungen, etwa Physiotherapie, dürfen weiterhin vorgenommen werden. Einzelhandel bekommt neue Auflagen Geschäfte im Groß- und Einzelhandel dürfen offen bleiben, allerdings darf sich auf einer Verkaufsfläche von bis zu 800 Quadratmetern nicht mehr als ein*e Kund*in auf einer Fläche von zehn Quadratmetern aufhalten. Läden, die über 800 Quadratmeter Verkaufsfläche haben, müssen dafür Sorge tragen, dass sich nur eine Person auf 20 Quadratmetern aufhält.;[(1191, 1338), (753, 885), (2013, 2151), (2187, 2537), (1941, 2012), (886, 1055)]
 Industriebetriebe und Handwerkstätten dürfen geöffnet bleiben. Mit den strengeren Maßnahmen will man die Ansteckungsgefahr im Gedränge und in Schlangen im Weihnachtsgeschäft minimieren. Gottesdienste und Demonstrationen mit Auflagen Gottesdienste und Demonstrationen dürfen unter Auflagen weiterhin stattfinden, da die Religions- und Versammlungsfreiheit nach dem Grundgesetz geschützt werden sollen. Weiterhin kein Gruppensport Fitnessstudios, Schwimm- und Spaßbäder müssen geschlossen bleiben. Der Amateursport ist ebenfalls eingestellt, Vereine dürfen vorerst nicht trainieren. Der Profisport, etwa die Bundesliga, muss ohne Zuschauer*innen stattfinden. Individualsport, wie beispielsweise Joggen, ist jedoch erlaubt. Von Reisen und Urlauben wird abgeraten Touristische Übernachtungen im Inland sind verboten und sollen nur noch in absolut notwendigen Fällen ermöglicht werden. In Bezug auf Reisen gelten weiterhin die Reisewarnungen des Auswärtigen Amts, das alle Risikogebiete in Europa ausweist. Auch, wenn Reisen nicht prinzipiell verboten sind, wird dringend, zunächst bis zum 10. Januar 2021, davon abgeraten. Alle Bürger*innen sind dazu aufgefordert, auf private Reisen, Ausflüge und Besuche zu verzichten. Die Grenzen sollen aber möglichst offen bleiben. Appell: Homeoffice und Betriebsferien möglich machen Im Zuge der hohen und rapide ansteigenden Corona-Infektionszahlen, wenden sich Bund und Länder eindringlich an Unternehmen, Heimarbeit zu ermöglichen, wo immer es geht. Zudem wurde heute noch einmal darauf verwiesen, die Möglichkeit von von Betriebsferien im Zeitraum zwischen 23. Dezember 2020 bis 01. Januar 2021 zu prüfen, um Kontakte und Mobilität weiter einzuschränken. Finanzhilfen verlängert Die zugesagten Novemberhilfen – also Zuschüsse in Höhe von 75 Prozent des entsprechenden durchschnittlichen Umsatzes aus dem Vorjahresmonat – für Restaurants, Firmen und sonstige Einrichtungen sollen auch im Dezember fortgeführt werden. Insgesamt plant der Bund wohl weitere 17 Milliarden dafür ein.;[(497, 581), (582, 657), (430, 496), (234, 401), (658, 721), (1, 63), (761, 812)]
 Update der Berliner Corona-Regeln : Senat kippt Kontaktverbot Regierungschef Michael Müller (SPD) sieht wegen Anstiegs bei Corona „Gratwanderung“. Bußgeld soll für mehr Maskendisziplin in Bus und Bahn sorgen. BERLIN taz | „Es ist eine Gratwanderung.“ Diese vier Worte sind die zentrale Botschaft, die Regierungschef Michael Müller (SPD) am Dienstag nach der Senatssitzung vor die wartenden Journalisten träg. Die Landesregierung hat gerade weitere Lockerungen beschlossen – und warnt zugleich vor Nachlässigkeit angesichts stark steigender Corona-Neuinfektionen. Nach dem Beschluss gibt es künftig vor allem keine Kontaktverbote mehr: Durften sich bislang nur maximal fünf Personen oder Angehörige zweier Haushalte treffen, so gilt diese Einschränkung nun nicht mehr. Gleichzeitig besserte der Senat bei der Pflicht zum Mund-Nase-Schutz in Bus und Bahn nach: Masken-Verweigerern droht nun ein Bußgeld. Die Regel, eineinhalb Meter Abstand zu halten, soll weiter gelten, gleiches gilt für dei Hygiene-Vorgaben. Ausgenommen von der Abstandsregel sind künftig die Schulen, wo es nach den Ferien ab dem 10. August wieder vollen Betrieb geben soll. Zudem dürfen doppelt so viele Kunden gleichzeitig in einem Geschäft sein: Der Senat halbierte die Vorgabe von 20 Quadratmeter Verkaufsfläche pro Kunde auf zehn. Gültig sind die neuen Regeln ab Samstag. In einer Sondersitzung am Freitag will der Senat laut Müller zudem ein weiteres wirtschaftliches Hilfsprogramm beschließen, das auch einen „namhaften Betrag“ für Kulturinstitutionen umfassen soll. Neu ist auch ein Stufenplan für Veranstaltungen in geschlossenen Räumen: Demnach sind bis Ende Juli Events mit maximal 300 Menschen erlaubt. Am 1. August erhöht sich diese Zahl auf 500, am 1. September auf 750, am 1. Oktober auf 1000 – immer unter Wahrung der Abstands- und Hygieneregeln. „Wir wollen ja gern mehr Normalität zulassen“, sagte Müller, „ich glaube, unsere Zahlen rechtfertigen auch dieses schrittweise Vorgehen.“ Aber die Situation kann sich aus seiner Sicht „beinahe täglich“ ändern, man sei noch nicht über den Berg: „Wir wollen alles tun, um einen Lockdown zu verhindern – wir sehen ja in Nordrhein-Westfalen, wie schnell es gehen.“ Dort hatte es im dortigen Landkreis Coesfeld einen massiven Corona-Ausbruch gegeben.;[(1010, 1143), (1616, 1831), (860, 902), (564, 768), (1144, 1304)]
" Corona-Ausbruch in Friedrichshain In einem Wohnblock am Ostbahnhof stehen seit dem Wochenende 30 Haushalte unter Quarantäne, weil BewohnerInnen positiv auf das neuartige Coronavirus getestet wurden. Das Gesundheitsamt habe eine entsprechende Anordnung erlassen, bestätigte eine Sprecherin von Bezirksbürgermeistern Monika Herrmann (Grüne) entsprechende Medienberichte am Dienstag. Die Ursache für den lokalen Ausbruch sei noch unklar, hieß es. ""Die Bewohnerinnen und Bewohner sind aber sehr untereinander vernetzt"", so die Sprecherin. Auch in einer Kita und mehreren umliegenden Schulen werde jetzt systematisch getestet. Die BewohnerInnen seien ""sehr kooperativ"". In der vergangenen Woche war ein kompletter Gebäudekomplex in Neukölln unter Quarantäne gestellt worden. Viele der Infizierten gehörten einer gemeinsamen Religionsgemeinschaft an. (akl) 500 Euro Bußgeld für Dauer-Verweigerer Beim Bußgeld für Masken-Verweigerer ließ sich die Landesregierung offenbar auch von einer wieder steigenden Corona-Verbreitung in Berlin leiten – die Zahl der Neuninfektionen binnen sieben Tagen hat sich in den vergangenen drei Wochen mehr als verdreifacht. Die bereits seit Anfang Mai geltende Pflicht in Bus und Bahn ist nun mit einer Bußgeldandrohung verbunden. Wer den Mund-Nasen-Schutz trotz Aufforderung nicht trägt, soll zwischen 50 und – „bei dauerhafter Verweigerung“ – 500 Euro zahlen müssen. Aus Müllers Sicht verhält sich der Großteile der Bevölkerung weiter verantwortungsvoll. Aber es gebe eben „einige, die sich bewusst oder unbewusst nicht an die Regeln halten.“ Da müsse man deutlicher werden sagte Müller. Die Kontrolle durch die Polizei soll wie bei Verkehrskontrollen punktuell geschehen, „zu ausgewählten Zeiten, an ausgewählten Orten“. In der rot-rot-grünen Koalition hatte sich am längsten die Linkspartei gegen ein Bußgeld gewehrt, das anfangs auch die Grünen skeptisch betrachteten. In der Senatssitzung war man jetzt laut Müller auf einer Linie: „Es hat niemand widersprochen.“ Mit Blick auf den Corona-Ausbruch in Neukölln sagte Müller, Bewohner der Häuser seien „sehr sorglos“ mit der Pandemie umgegangen und hätten Regeln nicht beachtet. Auf den Vorhalt, auch nach einer Woche seien immer noch nicht alle dort unter Quarantäne gestellten Menschen getestet, reagierte Müller mit einer Gegenfrage:";[(1149, 1393)]
 Schärfere Kontaktbeschränkungen für private Treffen Wegen der anhaltenden Corona-Pandemie gelten in Berlin von Dienstag (06. April 2021) an nochmals verschärfte Regeln für private Treffen in geschlossenen Räumen. © dpa Informationen zum Coronavirus: Maßnahmen Maßnahmen zur Eindämmung des Coronavirus in Berlin. Die offiziellen Informationen des Landes Berlin zum Coronavirus (SARS-CoV-2). mehr Tagsüber dürfen sich nur noch Angehörige eines Haushalts oder Lebenspartner plus eine weitere Person zusammen drinnen aufhalten. Kinder bis 14 Jahren werden dabei nicht mitgezählt. Nachts sind zwischen 21.00 Uhr und 05.00 Uhr keine Besuche mehr erlaubt. Die Angehörigen eines Haushalts oder Lebenspartner müssen unter sich bleiben. Maximal fünf Personen aus zwei Haushalten im Freien erlaubt Die Regelungen hatte der Senat am vergangenen Donnerstag beschlossen. Bereits seit Freitag dürfen sich Menschen im Freien nachts zwischen 21.00 und 05.00 Uhr nur noch alleine oder zweit aufhalten. Tagsüber sind Zusammenkünfte im Freien nur mit maximal fünf Personen aus zwei Haushalten erlaubt. Kinder bis 14 Jahren werden nicht mitgezählt.;[(858, 984), (728, 787), (577, 727), (396, 576), (985, 1128), (53, 213)]
 Die Kontaktminimierung ist der stärkste Hebel zur Eindämmung der Corona-Pandemie. Im Arbeitsalltag lassen sich jedoch viele Kontakte nicht vermeiden – sei es auf dem Weg zur Arbeitsstätte mit öffentlichen Verkehrsmitteln oder am Arbeitsplatz selbst. Aus diesem Grund sind bestimmte Richtlinien am Arbeitsplatz einzuhalten. Mobiles Arbeiten und Homeoffice Seit 01. Juli 2021 besteht keine Homeoffice-Pflicht mehr. Dennoch sind Arbeitgeber:innen dazu aufgerufen, ihren Mitarbeiter:innen im Zuge der Pandemiebekämpfung zu ermöglichen, von zuhause aus zu arbeiten. Jede:r Angestellte ist dazu aufgerufen, wenn möglich von zuhause zu arbeiten und die Präsenzzeiten im Unternehmen auf das notwendige Minimum zu reduzieren. Infektionsschutz: Verpflichtendes Testangebot, Kontaktreduzierung und medizinische Masken Um Infektionsketten zu verhindern, sollten Präsenzveranstaltungen wie Meetings reduziert werden. Auch die gleichzeitige Nutzung von Räumlichkeiten durch mehrere Personen ist nach Möglichkeit zu vermeiden. Hierzu können Unternehmen beispielsweise flexible Arbeitszeiten einführen. Auf diesem Weg reduziert sich ebenfalls die Nutzung der öffentlichen Verkehrsmittel in Stoßzeiten. Mitarbeiter:innen müssen in Büro- und Verwaltungsgebäuden eine medizinische Gesichtsmaske tragen, wenn sie sich nicht an ihrem festen Platz aufhalten oder sie den Mindestabstand von 1, 5 Metern nicht einhalten können. Für Besucher:innen gilt eine Maskenpflicht mit FFP2-Maske. Testangebot und Testpflicht Unternehmen sind dazu verpflichtet, allen Mitarbeiter:innen, die am Arbeitsplatz präsent sind, zweimal pro Woche ein kostenloses Testangebot mittels Point-of-Care (PoC) Antigen-Tests zu unterbreiten. Dabei kann es sich auch um sogenannte Selbsttests handeln. Ein Verweis auf die kostenlosen Testmöglichkeiten der Stadt Berlin ist zur Erfüllung dieser Pflicht nicht zulässig. Mitarbeiter:innen mit körperlichem Kund:innenkontakt sind dazu verpflichtet, das Angebot ihres Arbeitgebenden wahrzunehmen. Entsprechende Nachweise zu den Testergebnissen müssen von Unternehmen auf Wunsch ausgestellt werden und sind vier Wochen lang aufzubewahren. Sofern Selbsttests eingesetzt werden, müssen diese vor Ort unter Beaufsichtigung durchgeführt werden. Der Nachweis darf nur bei korrekter Durchführung erteilt werden.;[(1751, 1866), (1991, 2298), (1867, 1990), (1187, 1463), (356, 413), (1492, 1750)]
 Selbstständige mit körperlichen Kund: innenkontakt sind ebenfalls dazu verpflichtet, sich mindestens zweimal pro Woche einem PoC-Test zu unterziehen. Hierzu kann das kostenlose Testangebot der Stadt Berlin genutzt werden. Arbeitnehmer:innen und Selbstständige sind von der Pflicht befreit, sich regelmäßig testen zu lassen, wenn sie vollständig geimpft sind und die finale Impfung mindestens 14 Tage zurückliegt, oder nach einer Infektion mit dem Coronavirus, die maximal sechs Monate und mindestens 28 Tage zurückliegt, genesen sind, oder nach einer Infektion mit dem Coronavirus, die mehr als sechs Monate zurückliegt, mindestens eine Impfung gegen das SARS-CoV-Virus erhalten haben. Kontakt für Unternehmen und Beschäftigte Unternehmen und Angestellte mit Fragen zum Infektionsschutz am Arbeitsplatz können sich an die Hotline des Landesamts für Arbeitsschutz, Gesundheitsschutz und technische Sicherheit wenden: 030 902545-250 (Mo-Fr 9-14 Uhr). Ein E-Mail-Postfach wurde ebenfalls eingerichtet. Erkranken Beschäftigte am Arbeitsplatz an COVID-19 handelt es sich unter bestimmten Voraussetzungen um eine Berufskrankheit oder einen Arbeitsunfall. Die Erkrankung ist bei der gesetzlichen Unfallversicherung zu melden. Die Berliner Beratungsstelle Berufskrankheiten unterstützt Sie im Verfahren kostenlos und vertraulich. Wir klären mit Ihnen, ob ein kausaler Zusammenhang zwischen Tätigkeit und Erkrankung besteht. Kontaktmöglichkeiten per Telefon: 030 9028-2636, E-Mail: beratungsstelle.bkv@senisas.berlin.de oder unter berufskrankheiten.berlin.de Diese Regelungen gehen auf die bundesweite SARS-CoV-2-Arbeitsschutzverordnung, SARS-CoV-2-Infektionsschutzmaßnahmenverordnung und § 28b Infektionsschutzgesetz zurück;[(223, 686)]
 Gaststätten dürfen unter Einhaltung strenger Hygienevorgaben für den Publikumsverkehr öffnen. Der Verzehr von Speisen und Getränken ist nur am Tisch zulässig. Betreiber:innen sind dazu verpflichtet, ein Schutz- und Hygienekonzept zu erstellen, welches unter anderem die Regulierung der Gästeanzahl, die Kontaktnachverfolgung sowie die Einhaltung der Abstands- und Kontaktregeln sicherstellt. Grundsätzlich dürfen nicht mehr als zehn Personen aus fünf Haushalten gemeinsam an einem Tisch sitzen. Nicht mitgezählt werden Kinder von bis zu 14 Jahren, vollständig geimpfte und genesene Personen. Sofern sich Gäste nicht an ihrem Sitzplatz aufhalten, müssen sie eine FFP2-Maske bzw. in Außenbereichen eine medizinische Gesichtsmaske tragen. Auch für das Personal gilt eine Maskenpflicht. Der Besuch der Außenbereiche von Restaurants, Cafés und Bars sowie die Benutzung derer sanitären Anlagen ist ohne Vorlage eines negativen Testergebnisses erlaubt. Gaststätten dürfen ihre Innenräume nur für Personen öffnen, die einen aktuellen negativen Corona-Test oder einen Impf- bzw. Genesenennachweis vorlegen können. In Kantinen entfällt die für Mitarbeiter:innen des Unternehmens die Pflicht, ein negatives Corona-Testergebnis vorzulegen. Diese Bestimmungen gehen auf Teil I und II der Infektionsschutzmaßnahmenverordnung zurück.;[(737, 783), (784, 946), (947, 1105), (1, 392), (393, 592), (1106, 1228), (593, 736)]
