Claim,Subsection,label,deepset/gbert-base,deepset/gbert-large,deepset/gelectra-base,deepset/gelectra-large
"Die neuen Regelungen sehen vor, dass die Bürger soziale Kontakte soweit wie möglich reduzieren, im öffentlichen Raum einen Mindestabstand von 1, 5 Metern einhalten, Gastronomie- und Dienstleistungsbetriebe geschlossen werden.","Im Stadtgebiet von Berlin gemäß Artikel 4 Absatz 1 der Verfassung von Berlin vom 23. November 1995 (GVBl. S. 779), die zuletzt durch Gesetz vom 22. März 2016 (GVBl. S. 114) geändert worden ist, befindliche Personen haben sich, vorbehaltlich anderweitiger Regelungen dieser Verordnung, ständig in ihrer Wohnung oder gewöhnlichen Unterkunft aufzuhalten. Dies gilt auch für wohnungslose Menschen, soweit sie kommunal oder ordnungsrechtlich untergebracht sind.",True,0,0,0,0
"Die neuen Regelungen sehen vor, dass die Bürger soziale Kontakte soweit wie möglich reduzieren, im öffentlichen Raum einen Mindestabstand von 1, 5 Metern einhalten, Gastronomie- und Dienstleistungsbetriebe geschlossen werden.","Gaststätten im Sinne des Gaststättengesetzes in der Fassung der Bekanntmachung vom 20. November 1998 (BGBl. I S. 3418), das zuletzt durch Artikel 14 des Gesetzes vom 10. März 2017 (BGBl. I S. 420) geändert worden ist, inklusive Shisha-Bars, dürfen nicht für den Publikumsverkehr geöffnet werden. Sie dürfen Speisen und Getränke zur Abholung oder zur Lieferung anbieten. Für die Abholung, auch durch Lieferdienste, sind geeignete Vorkehrungen zur Hygiene, zur Steuerung des Zutritts und zur Vermeidung von Warteschlangen zu treffen.",False,1,1,1,1
"Die neuen Regelungen sehen vor, dass die Bürger soziale Kontakte soweit wie möglich reduzieren, im öffentlichen Raum einen Mindestabstand von 1, 5 Metern einhalten, Gastronomie- und Dienstleistungsbetriebe geschlossen werden.","Das Vorliegen von Gründen, die das Verlassen der Wohnung oder gewöhnlichen Unterkunft nach den Bestimmungen dieser Verordnung erlauben, ist gegenüber der Polizei und den zuständigen Ordnungsbehörden glaubhaft zu machen. Bei jeglichem Aufenthalt außerhalb der Wohnung oder gewöhnlichen Unterkunft ist - soweit möglich - ein Mindestabstand von 1,5 Metern zu anderen Personen einzuhalten.",True,1,1,1,1
"Die neuen Regelungen sehen vor, dass die Bürger soziale Kontakte soweit wie möglich reduzieren, im öffentlichen Raum einen Mindestabstand von 1, 5 Metern einhalten, Gastronomie- und Dienstleistungsbetriebe geschlossen werden.","Mit Inkrafttreten dieser Verordnung tritt die SARS-CoV-2-Eindämmungsmaßnahmenverordnung vom 17. März 2020, die gemäß § 2 Absatz 1 des Gesetzes über die Verkündung von Gesetzen und Rechtsverordnungen am 17. März 2020 verkündet wurde, zuletzt geändert durch die Verordnung vom 21. März 2020, die ebenfalls gemäß § 2 Absatz 1 des Gesetzes über die Verkündung von Gesetzen und Rechtsverordnungen am 21. März 2020 verkündet wurde, außer Kraft. Berlin, den 22. März 2020",False,0,0,0,0
"Die neuen Regelungen sehen vor, dass die Bürger soziale Kontakte soweit wie möglich reduzieren, im öffentlichen Raum einen Mindestabstand von 1, 5 Metern einhalten, Gastronomie- und Dienstleistungsbetriebe geschlossen werden.","(1) Gaststätten im Sinne des Gaststättengesetzes in der Fassung der Bekanntmachung vom 20. November 1998 (BGBl. I S. 3418), das zuletzt durch Artikel 14 des Gesetzes vom 10. März 2017 (BGBl. I S. 420) geändert worden ist, inklusive Shisha-Bars, dürfen nicht für den Publikumsverkehr geöffnet werden. Sie dürfen Speisen und Getränke zur Abholung oder zur Lieferung anbieten. Für die Abholung, auch durch Lieferdienste, sind geeignete Vorkehrungen zur Hygiene, zur Steuerung des Zutritts und zur Vermeidung von Warteschlangen zu treffen. (2) Hotels und andere Beherbergungsbetriebe dürfen keine touristischen Übernachtungen anbieten.",True,1,1,1,1
"Die neuen Regelungen sehen vor, dass die Bürger soziale Kontakte soweit wie möglich reduzieren, im öffentlichen Raum einen Mindestabstand von 1, 5 Metern einhalten, Gastronomie- und Dienstleistungsbetriebe geschlossen werden.","Werkstätten für Menschen mit Behinderungen und Tagesförderstätten für Menschen mit Behinderungen (dies umfasst die Leistungstypen BFBTS, TSHIV und TBTSB) und Angebote anderer Leistungsanbieter nach § 60 des Neunten Buchs Sozialgesetzbuch vom 23. Dezember 2016 (BGBl. I S. 3234), das zuletzt durch Artikel 8 des Gesetzes vom 14. Dezember 2019 (BGBl. I S. 2789) geändert worden ist, dürfen nicht geöffnet werden, soweit es sich nicht um eine Notbetreuung von Menschen mit Behinderungen handelt, 1. für die es keine andere Betreuungsmöglichkeit gibt (z.B. durch Angehörige, in ambulanten oder besonderen Wohnformen), 2. deren Angehörige eine berufliche Tätigkeit ausüben, die für die Aufrechterhaltung des öffentlichen Lebens insbesondere im Bereich der Gesundheit, Pflege, der öffentlichen Sicherheit und Versorgung erforderlich ist oder 3. für die im Einzelfall die Betreuung für die Stabilisierung des Gesundheitszustandes dringend erforderlich ist. Von Satz 1 erster Halbsatz ausgenommen sind Werkstätten für Menschen mit Behinderungen, die im Zusammenhang mit medizinischen und/oder pflegerelevanten Produkten Leistungen oder Unterstützungsarbeiten erbringen oder durchführen; hierzu zählen auch Wäschereien. Ebenso von Satz 1 ausgenommen sind solche Betriebsbereiche von Werkstätten für Menschen mit Behinderungen, die der Versorgung mit Speisen in medizinischen und/oder pflegerelevanten Einrichtungen dienen. Die Träger, die die Notbetreuung nach Satz 1 durchführen und die Träger der Werkstätten für Menschen mit Behinderungen, die von Satz 1 ausgenommen sind, haben in allen Fällen durch geeignete Maßnahmen sicherzustellen, dass Abstands- und Hygieneregeln eingehalten und Nahkontakte so weit wie möglich verhindert werden.",False,1,0,1,0
"Die neuen Regelungen sehen vor, dass die Bürger soziale Kontakte soweit wie möglich reduzieren, im öffentlichen Raum einen Mindestabstand von 1, 5 Metern einhalten, Gastronomie- und Dienstleistungsbetriebe geschlossen werden.","Dienstleistungsgewerbe im Bereich der Körperpflege wie Friseure, Kosmetikstudios, Massagepraxen, Tattoo-Studios und ähnliche Betriebe dürfen weder für den Publikumsverkehr geöffnet werden noch ihre Dienste anbieten. Das gilt nicht für medizinisch notwendige Behandlungen.",True,1,1,1,1
"Die neuen Regelungen sehen vor, dass die Bürger soziale Kontakte soweit wie möglich reduzieren, im öffentlichen Raum einen Mindestabstand von 1, 5 Metern einhalten, Gastronomie- und Dienstleistungsbetriebe geschlossen werden.","Krankenhäuser müssen, soweit medizinisch vertretbar, ihre personellen und sonstigen Ressourcen schwerpunktmäßig für die Behandlung von Patientinnen und Patienten mit COVID-19 oder Verdacht hierauf einsetzen.",False,0,0,0,0
"In Berlin dürfen die Menschen ihre eigene Wohnung ebenfalls nur aus triftigen Gründen verlassen, zu denen zählt das Versorgen der Tiere.","Jede Person ist angehalten, die physisch sozialen Kontakte zu anderen Menschen, die nicht zum eigenen Haushalt gehören, auf das absolut nötige Minimum zu reduzieren und auf Reisen zu verzichten. Dies gilt insbesondere für Personen, die Symptome einer Erkrankung mit COVID-19 im Sinne der dafür jeweils aktuellen Kriterien des Robert Koch-Instituts aufweisen. Arbeitgeberinnen und Arbeitgeber sind angehalten, unbürokratisch Home-Office für ihre Beschäftigten zu ermöglichen. Das Verlassen der eigenen Wohnung oder gewöhnlichen Unterkunft ist nur aus triftigen Gründen zulässig.",True,1,1,1,1
"In Berlin dürfen die Menschen ihre eigene Wohnung ebenfalls nur aus triftigen Gründen verlassen, zu denen zählt das Versorgen der Tiere.",§ 3 Absatz 2 und 3 bleibt unberührt.,False,0,0,0,0
